id,x,y,split,EUNIS_cls,EUNIS_label,bioclim_precipitation,bioclim_precipitation_of_driest_quarter,bioclim_precipitation_of_wettest_quarter,bioclim_maximum_temperature,bioclim_minimum_temperature,bioclim_mean_temperature_of_driest_quarter,bioclim_mean_temperature_of_wettest_quarter,bioclim_isothermality_,bioclim_temperature_seasonality_(standard_deviation_x100),bioclim_aridity_index,bioclim_evapotranspiration,lulc_arable_land_100,lulc_plantations_fields_and_crops_100,lulc_herbaceous_crops_100,lulc_woody_plant_crops_100,lulc_vineyards_100,lulc_meadows_100,lulc_wetlands_100,lulc_vegetated_shoreline_100,lulc_scree_100,lulc_roads_rails_paths_100,lulc_public_parks_100,lulc_high_altitude_grasslands_and_rough_pastures_100,lulc_herbaceous_crops_100,lulc_grasslands_and_meadows_100,lulc_glaciers_rocks_scree_and_moraines_100,lulc_buildings_100,lulc_arable_land_100,lulc_surroundings_of_blocks_of_flats_100,edaph_soil_moisture_25.,edaph_soil_ph_25.,edaph_phosphorus_load_25.,edaph_nitrogen_load_25.,edaph_soil_aeration_25.,edaph_soil_humus_25.,geol_massive_limestones,geol_gravel_and_sand_(glacial_deposit),lulc_glaciers_rocks_scree_and_moraines_100,lulc_screes_sand_100,lulc_scree_100,lulc_rock_slabs_and_limestone_pavement_100,lulc_rocks_100,lulc_cliffs_100,hydro_distance_to_lake_all,hydro_distance_to_river_all,pop_human_population_density_sum_100,trans_euclidean_distance_to_roads_all,vege_canopy_height_max_100,vege_coniferous_leaf_type_100,vege_deciduous_leaf_type_100,lulc_normal_dense_forest_100,lulc_forests_100
2572824_1174283,2572824,1174283,val,12,Arable land and market gardens,-0.31870839,-0.274357,-0.38639371,0.40659967,0.37763376,0.05244095,0.42922384,0.16997639,0.30371184,0.25531971,0.31502423,3.69791165,1.12541557,1.35966387,-0.16684413,-0.16352087,-0.41691868,-0.18593809,-0.17106081,-0.26060936,0.4239425,-0.12727095,-0.40987475,1.35966387,0.98224205,-0.33258322,-0.4880496,3.69791165,-0.27241302,-0.01039838,0.06177008,0.75584928,1.17685904,-0.19563008,-0.32156844,-0.36108193,-0.30100988,-0.33258322,-0.2667513,-0.26060936,-0.16070638,-0.26558029,-0.20383039,-0.21290562,-0.45074395,-0.32325152,-0.26012327,-1.14892586,-0.51809243,-0.81965992,-0.66236603,-0.91878609
2698259_1262891,2698259,1262891,test,9,Coniferous woodland,-0.62097788,-0.48190293,-0.64763009,0.65757749,0.59644363,0.1797371,0.64047797,0.15288968,0.76614413,0.84726496,0.73944932,-0.40593677,-0.41591209,-0.37988202,-0.16684413,-0.16352087,-0.41691868,-0.18593809,-0.17106081,-0.26060936,-0.43149674,-0.12727095,-0.40987475,-0.37988202,-1.20082524,-0.33258322,-0.4880496,-0.40593677,-0.27241302,1.23506011,-0.24799447,-0.51359976,-0.79137877,-1.03895846,1.14303693,-0.36108193,-0.30100988,-0.33258322,-0.2667513,-0.26060936,-0.16070638,-0.26558029,-0.20383039,-0.10744834,0.15437486,-0.32325152,0.07623884,2.06383791,2.86251129,0.25273848,2.47553022,2.14921178
2761449_1177676,2761449,1177676,train,14,"Buildings of cities, towns and villages",-0.66093315,-0.995095,-0.04653435,-0.70885731,-0.87270837,-0.94046904,-0.10959287,0.47753712,-0.41218965,-0.35953954,-0.79565283,-0.40593677,-0.41591209,-0.37988202,-0.16684413,-0.16352087,1.25024686,-0.18593809,-0.17106081,-0.26060936,0.95859203,-0.12727095,-0.40987475,-0.37988202,0.97580233,-0.33258322,0.74752459,-0.40593677,-0.25803511,0.24601955,-0.24799447,-0.65672392,-0.60088642,-0.55829007,0.62322058,-0.36108193,-0.30100988,-0.33258322,-0.2667513,-0.26060936,-0.16070638,-0.26558029,-0.20383039,-0.97451869,-0.48882701,0.11197962,-0.32184109,-0.20200601,-0.33141544,-0.43496664,-0.68210122,-0.57526509
2491055_1116825,2491055,1116825,test,1,Surface running waters,-0.9640085,-0.695932,-1.00449046,1.07587386,1.00280482,0.56162556,-0.35763845,0.26964885,0.72037005,1.36664917,0.83959046,-0.40593677,-0.40906174,-0.37988202,-0.15240554,0.01353457,-0.41691868,-0.18593809,-0.17106081,-0.26060936,-0.75228646,-0.12727095,-0.40987475,-0.37988202,-1.17935949,-0.33258322,-0.4880496,-0.40593677,-0.27241302,-0.19006536,0.77686483,0.56294281,0.24495241,-0.13086937,-0.65169742,-0.36108193,3.31995143,-0.33258322,-0.2667513,-0.26060936,-0.16070638,-0.26558029,-0.20383039,-1.22250237,-0.4182792,-0.32325152,0.44284269,-1.02492445,-0.52392609,-0.61413885,-0.47290814,-0.68384931
2653828_1212723,2653828,1212723,train,12,Arable land and market gardens,0.22126873,0.08341022,0.43973752,0.38045615,0.4479655,0.05244095,0.78764377,-0.28282136,0.42886146,0.19803469,0.78817403,-0.40593677,-0.41591209,-0.37988202,-0.16684413,-0.16352087,4.07275512,-0.18593809,-0.17106081,-0.26060936,0.18869671,-0.12727095,-0.40987475,-0.37988202,1.64124074,-0.33258322,-0.4880496,-0.40593677,-0.27241302,1.2525035,-0.37816149,3.09561811,0.1674584,-1.45054877,1.46587025,-0.36108193,-0.30100988,-0.33258322,-0.2667513,-0.26060936,-0.16070638,-0.26558029,-0.20383039,1.28429508,-0.70083057,-0.19402825,-0.19223367,-0.5852831,-0.52392609,-0.68791565,-0.67815418,-0.81217612
2534452_1176645,2534452,1176645,train,16,Transport networks and other constructed hard-surfaced areas,-1.10896817,-0.8690149,-1.28675017,0.76912319,1.06532192,1.14718786,0.42922384,-1.12861339,0.49073888,1.54996125,0.8296904,3.57163939,2.51603563,2.92912083,-0.16684413,-0.16352087,-0.41691868,-0.18593809,-0.17106081,-0.26060936,1.81403128,-0.12727095,-0.40987475,2.92912083,-0.84449371,-0.25396653,-0.4880496,3.57163939,-0.27241302,1.45135822,0.49511091,0.87408228,2.08930974,-1.17855378,0.2073675,-0.36108193,-0.30100988,-0.25396653,-0.2667513,-0.26060936,-0.16070638,-0.26558029,-0.20383039,0.6229547,-0.69020106,-0.32325152,-0.28172451,-0.69801165,-0.52392609,-0.18201763,-0.50843149,-0.63054433
2688177_1238220,2688177,1238220,train,16,Transport networks and other constructed hard-surfaced areas,0.08944632,-0.06058384,0.30163781,0.73252226,0.89535354,0.33249248,1.07129398,-0.75840139,0.80177436,0.49209781,1.13335303,-0.40593677,-0.41591209,-0.37988202,-0.16684413,-0.16352087,-0.41691868,-0.18593809,-0.17106081,-0.26060936,0.95859203,-0.06248047,-0.40987475,-0.37988202,-0.80370877,-0.32472155,0.62217648,-0.40593677,1.57874224,-0.6540597,0.45227113,-0.11534124,-0.18703545,0.35699466,-0.75018894,-0.36108193,-0.30100988,-0.32472155,-0.2667513,-0.26060936,-0.16070638,-0.26558029,-0.20383039,-1.19483158,0.51454174,0.40632151,-0.12434407,-0.50637311,-0.52392609,0.70066901,-0.68210122,-0.68977209
2698236_1121082,2698236,1121082,train,12,Arable land and market gardens,1.90480617,-0.39395395,2.20703836,1.28327914,1.32906597,0.46297104,0.66302757,-0.13473657,0.60751983,-0.82163873,0.15352097,-0.40593677,-0.30630656,-0.25618098,-0.16684413,-0.16352087,1.98954648,-0.18593809,-0.17106081,-0.06866577,0.29562662,-0.12727095,-0.40987475,-0.25618098,0.33612282,-0.19107318,0.22822529,-0.40593677,-0.27241302,0.42917521,0.12108669,0.50071491,0.85435208,-0.11935636,0.07422155,-0.36108193,-0.30100988,-0.19107318,0.20515339,-0.06866577,-0.16070638,-0.26558029,-0.20383039,1.75388013,-0.68957044,-0.03339655,-0.29715396,-0.02164033,-0.52392609,-0.31903168,-0.54395485,-0.01062713
2732947_1150691,2732947,1150691,train,0,Surface standing waters,1.39363358,-0.34660994,1.37978089,-1.66048154,-1.84172351,-1.75675562,-0.80506995,0.18421531,-0.70877016,-1.50142101,-1.47492458,-0.40593677,-0.41591209,-0.37988202,-0.16684413,-0.16352087,-0.41691868,-0.18593809,-0.17106081,-0.2392823,-0.49565469,-0.12727095,0.18661788,-0.37988202,-0.71140603,-0.04956313,-0.4880496,-0.40593677,-0.27241302,1.06934784,-1.93522265,1.42791054,-0.21517512,-0.39135135,0.98070832,-0.36108193,-0.30100988,-0.04956313,-0.2667513,-0.2392823,-0.01539406,0.42748785,0.45192779,-1.22250237,-0.59635537,-0.32325152,0.19473706,-1.28420013,-0.52392609,-0.90397626,-0.68210122,-0.95037422
2616169_1130313,2616169,1130313,train,9,Coniferous woodland,-0.65428019,-0.1332633,-0.94613998,0.05627646,-0.4604862,1.45747223,0.36394869,1.55115192,0.32881784,0.03381762,-0.33062382,-0.40593677,-0.41591209,-0.37988202,-0.16684413,-0.16352087,-0.41691868,-0.18593809,-0.17106081,-0.26060936,-0.23902291,-0.12727095,-0.40987475,-0.37988202,-1.19653209,-0.33258322,-0.4880496,-0.40593677,-0.26522407,-2.48038327,0.97952993,-0.57582766,-0.81578114,1.69394358,-1.44510133,-0.36108193,-0.30100988,-0.33258322,-0.2667513,-0.26060936,-0.16070638,-0.26558029,-0.20383039,0.37341757,1.84344585,-0.32325152,-0.11200051,-0.19073316,0.57280126,-0.47185504,-0.08412477,2.10577809
